@relation 'commentscope'
@attribute 'commentID' numeric
@attribute 'statement_1' {0,1}
@attribute 'statement_2' {0,1}
@attribute 'statement_3' {0,1}
@attribute 'statement_4' {0,1}
@attribute 'statement_5' {0,1}
@attribute 'statement_6' {0,1}
@attribute 'statement_7' {0,1}
@attribute 'statement_8' {0,1}
@attribute 'statement_9' {0,1}
@attribute 'statement_10' {0,1}
@attribute 'statement_11' {0,1}
@attribute 'statement_12' {0,1}
@attribute 'statement_13' {0,1}
@attribute 'statement_14' {0,1}
@attribute 'statement_15' {0,1}
@attribute 'statement_16' {0,1}
@attribute 'statement_17' {0,1}
@attribute 'statement_18' {0,1}
@attribute 'statement_19' {0,1}
@attribute 'statement_20' {0,1}
@attribute 'statement_21' {0,1}
@attribute 'statement_22' {0,1}
@attribute 'statement_23' {0,1}
@attribute 'statement_24' {0,1}
@attribute 'statement_25' {0,1}
@attribute 'statement_26' {0,1}
@attribute 'statement_27' {0,1}
@attribute 'statement_28' {0,1}
@attribute 'statement_29' {0,1}
@attribute 'statement_30' {0,1}
@attribute 'class' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@data
603785,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
463494,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
561802,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
711177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221831,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
253451,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
250505,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
428685,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
